mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
exact_cache,15,0,9,90296,1.0564568042755127,8.444506266777761,9.002401003619866,2.519086494177672,159.0,19.047619047619047,371,55,0,0,0,0,0.12910798122065728
exact_cache,15,1,9,90309,0.9739177227020264,9.513167283586078,10.046500616919412,1.5454272607444963,152.0,19.047619047619047,381,89,0,0,0,0,0.18936170212765957
exact_cache,15,2,9,90322,1.9568195343017578,8.815782453889357,9.345607015292865,2.5907467527760573,151.0,9.523809523809524,476,228,0,0,0,0,0.32386363636363635
exact_cache,15,3,9,90335,1.5369434356689453,9.817301861245928,10.368179054228385,2.047307564923393,157.0,14.285714285714286,319,87,0,0,0,0,0.21428571428571427
exact_cache,15,4,9,90348,1.03031587600708,8.444132656118612,9.002027392960716,1.8795855576174452,159.0,9.523809523809524,435,75,0,0,0,0,0.14705882352941177
exact_cache,15,5,9,90361,1.2052350044250488,7.538301999939745,8.064617789413429,1.5895029869954098,150.0,9.523809523809524,494,268,0,0,0,0,0.35170603674540685
exact_cache,15,6,9,90374,2.3228962421417236,7.214121447054615,7.712367061089703,1.6652498271252438,142.0,14.285714285714286,517,415,0,0,0,0,0.44527896995708155
intelligent_memory,15,0,0,432,0.7475135326385498,8.61375536370304,9.147088697036374,3.2990454362846564,152.0,9.523809523809524,20,135,275,78,0,1801,0.9606299212598425
intelligent_memory,15,1,0,445,1.2642250061035156,9.674221368361668,10.207554701695,1.9681561794324156,152.0,14.285714285714286,50,458,548,138,0,5562,0.9581239530988275
intelligent_memory,15,2,0,458,0.19968247413635254,7.869884585852562,8.375147743747299,3.475826581352818,144.0,23.80952380952381,30,213,116,61,0,1632,0.9285714285714286
intelligent_memory,15,3,0,471,0.634321928024292,10.061630037309476,10.594963370642809,1.7810670678701475,152.0,14.285714285714286,42,353,253,216,0,4080,0.9513888888888888
intelligent_memory,15,4,0,484,2.0452890396118164,8.40370753308624,8.930023322559926,1.789387642509079,150.0,14.285714285714286,236,679,177,54,0,3720,0.794066317626527
intelligent_memory,15,5,0,497,0.5561652183532715,7.4944423508169375,7.9646177894134285,1.7843771818053455,134.0,19.047619047619047,118,384,227,3,4,2760,0.8387978142076503
intelligent_memory,15,6,0,510,0.738234281539917,7.134096486764256,7.6358508727291685,1.4529836834121745,143.0,19.047619047619047,159,75,151,43,0,2808,0.6285046728971962
intelligent_memory,15,0,1,10432,0.5990593433380127,8.444506266777763,9.002401003619868,2.363147294258103,159.0,19.047619047619047,25,267,221,181,0,2411,0.9639769452449568
intelligent_memory,15,1,1,10445,0.46781110763549805,9.649659964852896,10.207554701695,2.4356357814437417,159.0,14.285714285714286,24,231,241,114,0,3024,0.9606557377049181
intelligent_memory,15,2,1,10458,0.7065634727478027,8.815782453889357,9.345607015292865,1.0788642079816135,151.0,9.523809523809524,45,468,408,127,0,4640,0.9570610687022901
intelligent_memory,15,3,1,10471,0.8460612297058105,9.8418632647547,10.368179054228385,1.9684900859021686,150.0,14.285714285714286,23,77,244,86,0,2824,0.9465116279069767
intelligent_memory,15,4,1,10484,1.4589924812316895,8.352755587451458,8.851001201486547,1.9222411906918473,142.0,14.285714285714286,208,437,342,97,0,5160,0.8081180811808119
intelligent_memory,15,5,1,10497,0.6499416828155518,7.374266912220446,7.914617789413429,2.219284897424675,154.0,23.80952380952381,84,245,189,18,1,2312,0.8432835820895522
intelligent_memory,15,6,1,10510,1.5498542785644531,7.14462280255373,7.6358508727291685,1.222562368784758,140.0,19.047619047619047,330,309,236,17,8,4664,0.6300448430493274
intelligent_memory,15,0,2,20432,0.4410383701324463,8.589193960194269,9.147088697036374,2.046160689195816,159.0,9.523809523809524,30,215,248,129,0,2370,0.9517684887459807
intelligent_memory,15,1,2,20445,0.5109846591949463,9.653168736782721,10.207554701695,2.8221804718890233,158.0,14.285714285714286,40,192,195,105,0,2712,0.924812030075188
intelligent_memory,15,2,2,20458,0.29870033264160156,8.493747861513649,9.023572422917157,3.0571058280882975,151.0,19.047619047619047,32,235,271,62,0,2912,0.9466666666666667
intelligent_memory,15,3,2,20471,0.7055206298828125,9.869933440193297,10.368179054228385,2.033683388749253,142.0,14.285714285714286,86,374,342,88,0,4112,0.903370786516854
intelligent_memory,15,4,2,20484,0.6246585845947266,8.309773131311108,8.801001201486546,1.739387642509079,140.0,19.047619047619047,120,592,188,18,0,2592,0.869281045751634
intelligent_memory,15,5,2,20497,0.7000975608825684,7.416372175378341,7.914617789413429,1.874747219637323,142.0,23.80952380952381,98,262,282,70,0,3584,0.8623595505617978
intelligent_memory,15,6,2,20510,1.1491520404815674,7.191114030623906,7.685850872729169,1.8574857964020064,141.0,14.285714285714286,261,797,254,22,0,4288,0.8043478260869565
intelligent_memory,15,0,3,30432,1.3615167140960693,8.373847401218143,8.844022839814635,1.9740399359226306,134.0,23.80952380952381,43,365,283,141,0,2562,0.9483173076923077
intelligent_memory,15,1,3,30445,0.3780181407928467,9.649659964852896,10.207554701695,2.6445865722320714,159.0,14.285714285714286,34,685,285,60,1,2960,0.9680451127819549
intelligent_memory,15,2,3,30458,0.28334689140319824,8.428106159986548,8.971965809109355,1.772669748182984,155.0,19.047619047619047,38,527,199,54,0,2304,0.9535452322738386
intelligent_memory,15,3,3,30471,0.41863322257995605,9.168685853738769,9.680966555493155,1.6669014585712456,146.0,23.80952380952381,52,263,101,78,0,1824,0.8947368421052632
intelligent_memory,15,4,3,30484,0.8975515365600586,8.303632780433915,8.851001201486547,1.789387642509079,156.0,14.285714285714286,183,335,231,73,0,3896,0.7773722627737226
intelligent_memory,15,5,3,30497,0.782991886138916,7.430407263097639,7.914617789413429,1.9111365225254593,138.0,23.80952380952381,100,93,262,11,19,2968,0.7854077253218884
intelligent_memory,15,6,3,30510,0.6632254123687744,7.132542499686195,7.662367061089704,1.9042569317389648,151.0,19.047619047619047,206,620,167,1,0,2968,0.7927565392354124
intelligent_memory,15,0,4,40432,0.6713871955871582,8.180714881954572,8.71053944335808,2.0817271749761956,151.0,23.80952380952381,37,243,216,84,0,2008,0.9362068965517242
intelligent_memory,15,1,4,40445,0.40727853775024414,9.653168736782721,10.207554701695,2.851218650629747,158.0,14.285714285714286,30,239,197,120,0,2722,0.9488054607508533
intelligent_memory,15,2,4,40458,0.6500635147094727,8.215455616597476,8.748788949930809,1.1836807471262414,152.0,14.285714285714286,63,482,301,94,0,3648,0.9329787234042554
