node_id,date,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
85,2025-01-03 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,-0.872,-4.022,-2.3365836,0,0,80,54,-5.059298,-9.490494
85,2025-01-04 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,-3.122,-5.8719997,-4.663667,0,0,75,55,-7.943465,-12.908687
85,2025-01-05 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,-2.322,-6.672,-4.655333,0,0,75,57,-8.098389,-13.0286455
85,2025-01-06 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,-4.672,-8.672,-6.6178336,0,0,90,68,-6.5050287,-12.520539
85,2025-01-07 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,-4.022,-7.772,-6.0949173,0.2,0.14,77,56,-8.581443,-13.155033
85,2025-01-08 05:00:00+00:00,"[10, 3, 86, 87]",42.9610929,-78.7555071,-6.472,-9.322,-7.7574162,0,0,73,53,-12.358235,-15.652584
123,2025-01-01 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,5.326,0.076000005,2.2468338,3.2,0.7,100,73,4.341021,-3.1193986
123,2025-01-02 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,0.326,-2.874,-0.7385833,0.4,0.21000001,87,61,-1.9781448,-8.44249
123,2025-01-03 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,-0.974,-4.024,-2.4260833,0,0,81,54,-4.75039,-9.427432
123,2025-01-04 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,-3.124,-6.074,-4.79275,0,0,74,56,-8.118467,-12.82837
123,2025-01-05 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,-2.524,-6.724,-4.915667,0,0,77,58,-8.148129,-13.172156
123,2025-01-06 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,-4.824,-9.224,-7.024,0.1,0.07,90,71,-6.5055223,-12.838829
