graph_id,Interval,num_nodes,mode,obj_mean,obj_std,time_s_mean,time_s_std,%_covered_mean,%_covered_std,unique_edges_covered_mean,unique_edges_covered_std
10,1,15,SA + Exact Cache,10.1424346999999,0.248959491702766,3.9736,0.750414877843509,70.562,1.73167741414695,21.0,0.816496580927725
10,2,15,SA + Exact Cache,13.5713721999999,0.154614751973916,3.1863,0.642309902703602,80.109,0.911646252056627,21.5,0.52704627669473
10,3,15,SA + Exact Cache,11.8070116,0.236035532577524,3.92209999999999,0.632753497729478,77.01,1.53839021202178,20.2,1.31656117720876
10,0,15,SA + LTMB,10.9201187,0.0396906955960712,3.8679,0.532869475366883,90.8049999999999,0.332039154317678,21.1,0.316227766016838
10,1,15,SA + LTMB,10.2331024,0.176154181912197,4.3156,0.468586574474533,71.193,1.2231566629922,20.9,0.994428926011754
10,2,15,SA + LTMB,13.497622,0.21453296166479,3.3927,0.735099849604724,79.672,1.26627011336443,21.3,0.483045891539648
10,3,15,SA + LTMB,12.0209926999999,0.243913875861975,4.11689999999999,0.642585999432501,78.409,1.59120115356642,20.1,0.875595035770912
11,0,15,SA,9.4493566,0.249796126346266,2.3367,0.337742850898924,80.848,2.13835242911712,17.3,1.05934990547137
11,1,15,SA,10.4674056,0.157225625519647,1.88829999999999,0.272793389460473,78.695,1.18247621540561,17.0,0.666666666666666
11,2,15,SA,10.2953193,0.20829245033582,2.5682,0.520338522288882,77.8789999999999,1.57503051116831,16.7,0.674948557710552
11,3,15,SA,11.2366315,0.215893941964438,2.4009,0.328065186611847,74.0279999999999,1.42168757311709,17.2,0.632455532033675
11,0,15,SA + Exact Cache,9.7810847,0.128056692798367,2.4715,0.233045655994223,83.687,1.0947252318885,18.1,0.567646212197546
11,1,15,SA + Exact Cache,10.4802571,0.0937997965354937,2.046,0.381526175015846,78.794,0.705284812445773,16.7,0.674948557710553
11,2,15,SA + Exact Cache,10.6560525999999,0.0871575757913347,2.6983,0.232670510952004,80.609,0.659738163550088,17.4,0.966091783079296
11,3,15,SA + Exact Cache,11.5215424,0.219700227996241,2.4805,0.303754743904427,75.907,1.4469128054816,17.3,0.823272602348564
11,0,15,SA + LTMB,9.807392,0.163445278095011,2.6086,0.345636353540666,83.911,1.39848688072343,17.9,0.875595035770913
11,1,15,SA + LTMB,10.5413615,0.150162766144126,2.2064,0.359586552708647,79.253,1.12923818961673,17.3,0.823272602348564
11,2,15,SA + LTMB,10.576311,0.0964846022349909,2.5908,0.452821721112306,80.0069999999999,0.730343146138247,16.9,0.875595035770913
11,3,15,SA + LTMB,11.6181342,0.123774236893718,2.3088,0.428589365762199,76.542,0.816003812627252,17.5,0.52704627669473
12,0,15,SA,11.5924378,0.272598761063378,2.30709999999999,0.421926389051191,76.095,1.78957629994737,18.8,0.788810637746615
12,1,15,SA,11.1608956,0.425820665672038,2.7662,0.49654938212517,78.732,3.00410016107615,18.8,0.918936583472681
12,2,15,SA,10.9517415,0.109195914566689,2.76269999999999,0.393036625378461,77.115,0.768523114667199,18.0,0.942809041582063
12,3,15,SA,10.3321166,0.357979725585805,2.3516,0.299886348842727,79.071,2.74064651739937,19.1,0.737864787372621
12,0,15,SA + Exact Cache,12.0927539,0.103986517970627,2.341,0.34480429231667,79.38,0.682804673550366,19.4,0.516397779494322
12,1,15,SA + Exact Cache,11.7237619,0.143923928100499,2.88789999999999,0.440545230368006,82.704,1.01305039909725,19.7,0.483045891539648
12,2,15,SA + Exact Cache,11.4467119,0.129732120250795,2.6298,0.202413108929897,80.599,0.915841446733851,18.1,0.737864787372621
12,3,15,SA + Exact Cache,10.4790394,0.218204236648044,2.5793,0.388498548545837,80.196,1.66967195713542,19.4,0.516397779494322
12,0,15,SA + LTMB,12.2683296999999,0.225212542270653,2.2192,0.295002372871812,80.532,1.47677426244576,20.2,0.918936583472681
12,1,15,SA + LTMB,11.7061002,0.0822285632636248,2.7267,0.512510173340761,82.58,0.582122552961722,19.6,0.516397779494322
12,2,15,SA + LTMB,11.4257908999999,0.14065653928903,2.5366,0.266350729511129,80.451,0.989730041756614,17.9,0.737864787372623
12,3,15,SA + LTMB,10.5847324,0.21676678695942,2.516,0.440059339433015,81.005,1.65990126881758,19.7,0.483045891539647
13,0,15,SA,12.3615409,0.18055058188432,3.1226,0.51251736013958,93.124,1.36104698261628,23.1,0.875595035770912
13,1,15,SA,11.9660754999999,0.206078742369269,3.75009999999999,0.541283136014169,90.77,1.56348613325763,22.6,0.699205898780099
13,2,15,SA,11.2035633,0.240813112322052,3.5427,0.23944103890334,85.1169999999999,1.82911059139559,22.5,0.527046276694729
13,3,15,SA,13.7809947999999,0.284599447993843,2.86409999999999,0.386710184332746,88.519,1.8289672252698,21.8,0.421637021355783
13,0,15,SA + Exact Cache,12.5885179,0.127886106830735,3.2846,0.466200529100228,94.834,0.964102345881047,23.7,0.483045891539647
13,1,15,SA + Exact Cache,12.1327486999999,0.16109348604118,3.7936,0.449123640487165,92.0329999999999,1.22267511810965,23.2,0.788810637746615
13,2,15,SA + Exact Cache,11.6809279,0.184233267204288,3.68729999999999,0.533342926997047,88.743,1.39847575754621,23.7,0.674948557710552
13,3,15,SA + Exact Cache,14.2639606999999,0.191112393980348,3.6223,0.460305707594903,91.62,1.22906468503492,23.1,0.737864787372621
13,0,15,SA + LTMB,12.5869805,0.136459233333011,3.1612,0.526352606782436,94.823,1.02918576230597,24.0,0.471404520791031
13,1,15,SA + LTMB,12.1513516,0.164642733111695,3.8891,0.499308288201454,92.1769999999999,1.24904452371491,22.9,0.316227766016837
13,2,15,SA + LTMB,11.7306114,0.234935395999362,4.0061,0.380706492370872,89.121,1.78253533547647,23.0,1.15470053837925
13,3,15,SA + LTMB,14.1012401,0.168207539606714,3.4511,0.504718502401751,90.574,1.08031065490955,23.2,0.918936583472681
14,0,13,SA,15.5330078,0.296380255653592,2.0755,0.394341152359786,88.316,1.68508621606004,25.5,0.52704627669473
14,1,13,SA,14.4115198999999,0.104952325163433,1.96909999999999,0.31780163274876,93.925,0.682727373602868,25.8,0.421637021355784
14,2,13,SA,13.943857,0.119987624797078,2.011,0.264180073266533,91.5,0.786963220939269,24.8,0.632455532033676
14,3,13,SA,13.5228664,0.394137873929979,2.2556,0.403462293433007,88.419,2.57741666531949,24.8,1.22927259430571
14,0,13,SA + Exact Cache,15.8585725,0.25773340677023,1.97749999999999,0.481345625420145,90.166,1.46575122946107,25.8,0.632455532033675
14,1,13,SA + Exact Cache,14.4305545999999,0.231977617984149,2.0812,0.362910089875348,94.049,1.51213204890754,25.8,0.788810637746615
14,2,13,SA + Exact Cache,14.0647928,0.160868313041581,2.0786,0.232215034444848,92.291,1.05476116306541,25.4,1.07496769977314
14,3,13,SA + Exact Cache,13.7180974,0.214828173507314,2.51729999999999,0.177211769110042,89.696,1.40411458854958,25.3,0.674948557710553
14,0,13,SA + LTMB,15.7636805,0.232593226305902,1.9809,0.356736581932507,89.627,1.32179213359909,25.6,0.699205898780101
14,1,13,SA + LTMB,14.3707942,0.0724444923783411,1.8504,0.290271596957056,93.658,0.472482803919892,25.4,0.516397779494322
14,2,13,SA + LTMB,13.9253472,0.212420264137863,2.0158,0.312647049846592,91.377,1.3960901753747,24.8,0.632455532033675
14,3,13,SA + LTMB,13.6908391,0.155112364372448,2.2516,0.387926739933657,89.515,1.01379649502912,24.8,0.632455532033675
15,0,15,SA,11.8436842,0.208934019090981,3.6417,0.663016180462856,74.151,1.30785192841799,19.4,0.6992058987801
15,1,15,SA,9.8314611,0.169026103470867,3.8867,0.474722854820461,69.905,1.20252743096456,19.3,0.948683298050513
15,2,15,SA,11.7362809,0.283873673920265,3.87209999999999,0.655196230147884,73.463,1.77715159110802,19.7,0.674948557710552
